Provincia,openmrs_us,Unidade Sanitaria,URI,UUID,DataSet
Manica,CS Guro-Sede,CS Guro-Sede,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Honde,CS Honde,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS IAC,CS IAC,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Inchope,CS Inchope,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Macate,CS Macate,http://41.191.74.42:8080/macate/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Machipanda,CS Machipanda,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Mandie,CS Mandie,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Marera,CS Marera,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Matsinho,CS Matsinho,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Mavende,CS Mavende,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Mazwissanga,CS Mazwissanga,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Messica,CS Messica,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Muda Serracao,CS Muda Serração,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Mude,CS Mude,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Munhinga,CS Munhinga,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Mupengo,CS Mupengo,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Nhamaonha,CS Nhamaonha,http://41.191.74.42:8080/nhamaonha/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Nhampassa,CS Nhampassa,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
Manica,CS Nhassacara,CS Nhassacara,http://41.191.74.42:8080/openmrs/ws/rest/v1/reportingrest/dataSet/,ef736830-ccca-4a17-a93f-d8fbb8e3baa7,ART Optimization
